,lane,tile,cycle,errorrate,nPerfect,n1Error,n2Error,n3Error,n4Error
292,1,2104,5,0.064480469,10795,61,0,0,0
293,1,2105,5,0.06589476,10568,55,0,0,0
294,1,2106,5,0.064647213,10751,79,0,0,0
295,1,2107,5,0.125391856,11101,64,0,0,0
296,1,2108,5,0.045024764,11044,61,0,0,0
297,1,2109,5,0.071237758,11159,71,0,0,0
298,1,2110,5,0.072273917,10983,86,0,0,0
299,1,2111,5,0.044678759,11128,65,0,0,0
300,1,2112,5,0.080768198,11058,86,0,0,0
301,1,2113,5,0.098734401,11050,93,0,0,0
302,1,2114,5,0.062477686,11120,84,0,0,0
303,1,2115,5,0.053990822,11034,81,0,0,0
304,1,2116,5,0.087581016,11337,81,0,0,0
305,1,2201,5,0.056116723,10631,61,0,0,0
306,1,2202,5,0.05574654,10700,63,0,0,0
307,1,2203,5,0.102306545,10682,71,0,0,0
308,1,2204,5,0.054899808,10849,81,0,0,0
309,1,2205,5,0.045724738,10871,66,0,0,0
310,1,2206,5,0.044835009,11065,87,0,0,0
311,1,2207,5,0.035527132,11194,65,0,0,0
312,1,2208,5,0.061247703,11358,72,0,0,0
313,1,2209,5,0.062161442,11196,66,0,0,0
314,1,2210,5,0.105503783,11293,83,0,0,0
315,1,2211,5,0.08996851,11047,68,0,0,0
316,1,2212,5,0.069456503,11439,80,0,0,0
317,1,2213,5,0.079456165,11237,90,0,0,0
318,1,2214,5,0.087320991,11359,95,0,0,0
319,1,2215,5,0.105189338,11314,94,0,0,0
320,1,2216,5,0.03408026,11670,67,0,0,0
321,1,1101,6,0.104761906,10428,72,0,0,0
322,1,1102,6,0.068013988,10223,69,0,0,0
323,1,1103,6,0.067744121,10259,74,0,0,0
324,1,1104,6,0.093109868,10655,85,0,0,0
325,1,1105,6,0.065783292,10566,75,0,0,0
326,1,1106,6,0.120728083,10691,77,0,0,0
327,1,1107,6,0.112570353,10591,69,0,0,0
328,1,1108,6,0.091107875,10891,86,0,0,0
329,1,1109,6,0.083534434,10706,68,0,0,0
330,1,1110,6,0.092293493,10753,82,0,0,0
331,1,1111,6,0.099108025,11030,69,0,0,0
332,1,1112,6,0.092447072,10727,90,0,0,0
333,1,1113,6,0.074815303,10609,84,0,0,0
334,1,1114,6,0.114624128,10389,81,0,0,0
335,1,1115,6,0.112951808,10539,86,0,0,0
336,1,1116,6,0.084301233,10607,71,0,0,0
337,1,1201,6,0.066755675,10424,62,0,0,0
338,1,1202,6,0.085364699,10458,85,0,0,0
339,1,1203,6,0.112877436,10558,74,0,0,0
340,1,1204,6,0.11341083,10500,81,0,0,0
341,1,1205,6,0.084443614,10582,76,0,0,0
342,1,1206,6,0.066106334,10346,244,0,0,0
343,1,1207,6,0.091684237,10817,91,0,0,0
344,1,1208,6,0.08227443,10866,73,0,0,0
345,1,1209,6,0.118224807,10911,86,0,0,0
346,1,1210,6,0.074280411,10705,67,0,0,0
347,1,1211,6,0.045236588,10972,81,0,0,0
348,1,1212,6,0.064700991,10732,88,0,0,0
349,1,1213,6,0.075039864,10569,94,0,0,0
350,1,1214,6,0.16628176,10728,98,0,0,0
351,1,1215,6,0.091954023,10789,86,0,0,0
352,1,1216,6,0.062133852,11182,84,0,0,0
353,1,2101,6,0.085275725,10481,73,0,0,0
354,1,2102,6,0.13090229,10620,75,0,0,0
355,1,2103,6,0.092464171,10736,80,0,0,0
356,1,2104,6,0.064480469,10788,68,0,0,0
357,1,2105,6,0.075308293,10560,63,0,0,0
358,1,2106,6,0.230925545,10726,104,0,0,0
359,1,2107,6,0.089581653,11091,74,0,0,0
360,1,2108,6,0.054034583,11038,67,0,0,0
361,1,2109,6,0.097960636,11148,82,0,0,0
362,1,2110,6,0.05420544,10977,92,0,0,0
363,1,2111,6,0.062555857,11121,72,0,0,0
364,1,2112,6,0.143613681,11042,102,0,0,0
365,1,2113,6,0.062842265,11043,100,0,0,0
366,1,2114,6,0.080328457,11111,93,0,0,0
367,1,2115,6,0.081015393,11025,90,0,0,0
368,1,2116,6,0.113875262,11324,94,0,0,0
369,1,2201,6,0.102880657,10620,72,0,0,0
370,1,2202,6,0.04645545,10695,68,0,0,0
371,1,2203,6,0.093005955,10672,81,0,0,0
372,1,2204,6,0.073199742,10841,89,0,0,0
373,1,2205,6,0.091449477,10861,76,0,0,0
374,1,2206,6,2.385222435,10799,353,0,0,0
375,1,2207,6,0.071054265,11186,73,0,0,0
376,1,2208,6,0.104996063,11346,84,0,0,0
377,1,2209,6,0.088802062,11186,76,0,0,0
378,1,2210,6,0.087919816,11283,93,0,0,0
379,1,2211,6,0.071974806,11039,76,0,0,0
380,1,2212,6,0.078138568,11430,89,0,0,0
381,1,2213,6,0.097113095,11226,101,0,0,0
382,1,2214,6,0.113517292,11346,108,0,0,0
383,1,2215,6,0.105189338,11302,106,0,0,0
