"","lane","tile","cycle","errorrate","nPerfect","n1Error","n2Error","n3Error","n4Error"
"1582",1,2215,7,0.0788920074701309,11293,115,0,0,0
"1632",1,2216,7,0.119280904531479,11647,90,0,0,0
"8",1,1101,8,0.0285714287310839,10418,82,0,0,0
"27",1,1102,8,0.0971628427505493,10208,84,0,0,0
"73",1,1103,8,0.0967773124575615,10237,96,0,0,0
"58",1,1104,8,0.0279329605400562,10651,89,0,0,0
"72",1,1105,8,0.06578329205513,10551,90,0,0,0
"145",1,1106,8,0.0464338771998882,10676,92,0,0,0
"136",1,1107,8,0.0375234521925449,10579,81,0,0,0
"153",1,1108,8,0.0819970816373825,10875,102,0,0,0
"208",1,1109,8,0.0649712234735489,10695,79,0,0,0
"233",1,1110,8,0.0646054446697235,10742,93,0,0,0
"261",1,1111,8,0.0450491048395634,11018,81,0,0,0
"278",1,1112,8,0.101691782474518,10705,112,0,0,0
